Release_Date,Title,Production company,Cast and crew,Genre
1-Feb-08,Over Her Dead Body,New Line Cinema / Gold Circle Films,"Jeff Lowell (director/screenplay); Eva Longoria Parker, Paul Rudd, Lake Bell, Jason Biggs, Lindsay Sloane, Ali Hillis, Stephen Root, W. Morgan Sheppard, Wendi McLendon-Covey, Deborah Theaker, Jack Conley, Colin Fickes, Misha Collins, Sam Pancake, Owen Wilson","Romance, Comedy"
1-Feb-08,Strange Wilderness,Paramount Pictures / Level 1 Entertainment / Happy Madison Productions,"Fred Wolf (director/screenplay); Peter Gaulke (screenplay); Steve Zahn, Allen Covert, Jonah Hill, Robert Patrick, Justin Long, Jeff Garlin, Ernest Borgnine, Ashley Scott, Harry Hamlin, Kevin Heffernan, John P. Farley, Peter Dante, Oliver Hudson, Blake Clark, Seth Rogen","Comedy, Adventure"
6-Feb-08,How to Rob a Bank ‡,IFC First Take,"Andrews Jenkins (director/screenplay); Nick Stahl, Erika Christensen, Gavin Rossdale, Terry Crews, Adriano Aragon, David Carradine, Leo Fitzpatrick",Drama
8-Feb-08,Fool's Gold,Warner Bros. Pictures,"Andy Tennant (director/screenplay); John Claflin, Daniel Zelman (screenplay); Kate Hudson, Matthew McConaughey, Donald Sutherland, Ewen Bremner, Alexis Dziena, Kevin Hart, Ray Winstone, Tiffany Grant, Brian Hooks, Malcolm-Jamal Warner, Michael Mulheren, Adam LeFevre, Rohan Nichol, David Roberts, Roger Sciberras, Dan Mewing","Adventure, Romance"
8-Feb-08,In Bruges ‡,Focus Features,"Martin McDonagh (director/screenplay); Colin Farrell, Brendan Gleeson, Ralph Fiennes, Clémence Poésy, Jérémie Renier, Jordan Prentice, Thekla Reuten, Anna Madeley, Elizabeth Berrington, Eric Godon, Željko Ivanek, Ciarán Hinds, Matt Smith","Black Comedy, Crime"
8-Feb-08,Welcome Home Roscoe Jenkins,Universal Pictures / Spyglass Entertainment,"Malcolm D. Lee (director/screenplay); Martin Lawrence, Margaret Avery, Joy Bryant, Louis C.K., Michael Clarke Duncan, Mike Epps, Mo'Nique, Nicole Ari Parker, Cedric the Entertainer, James Earl Jones, Brooke Lyons, Affion Crockett, Liz Mikel",Comedy
8-Feb-08,Wild West Comedy Show: 30 Days and 30 Nights – Hollywood to the Heartland,Picturehouse Entertainment,"Ari Sandel (director); Ahmed Ahmed, Sean Fitzgerald, Peter Billingsley, John Caparulo, Bret Ernst, Justin Long, Sebastian Maniscalco, Keir O'Donnell, Vince Vaughn","Comedy, Documentary"
14-Feb-08,"Definitely, Maybe",Universal Pictures / Working Title Films,"Adam Brooks (director/screenplay); Ryan Reynolds, Isla Fisher, Derek Luke, Abigail Breslin, Elizabeth Banks, Rachel Weisz, Kevin Kline, Adam Ferrara, Annie Parisse, Liane Balaban, Nestor Serrano, Marc Bonan, Alexie Gilmore, Kevin Corrigan","Romance, Comedy, Drama"
14-Feb-08,Jumper,20th Century Fox / Regency Enterprises,"Doug Liman (director); David S. Goyer, Jim Uhls, Simon Kinberg (screenplay); Hayden Christensen, Samuel L. Jackson, Rachel Bilson, Jamie Bell, Diane Lane, Michael Rooker, Jesse James, Tom Hulce, Kristen Stewart, Teddy Dunn, AnnaSophia Robb, Max Thieriot, Barbara Garrick, Shawn Roberts, Meredith Henderson, Nathalie Cox, Tony Nappo, Clark Beasley Jr.","Sci-Fi, Action"
14-Feb-08,The Spiderwick Chronicles,Paramount Pictures / Nickelodeon Movies / The Kennedy/Marshall Company / Atmosphere Pictures,"Mark Waters (director); Karey Kirkpatrick, David Berenbaum, John Sayles (screenplay); Freddie Highmore, Sarah Bolger, Mary-Louise Parker, Martin Short, Nick Nolte, Seth Rogen, Joan Plowright, David Strathairn, Ron Perlman, Andrew McCarthy, Tod Fennell, Lise Durocher-Viens","Fantasy, Adventure"
14-Feb-08,Step Up 2: The Streets,Touchstone Pictures / Summit Entertainment,"Jon M. Chu (director); Toni Ann Johnson, Karen Barna (screenplay); Briana Evigan, Robert Hoffman, Adam Sevani, Will Kemp, Cassie Ventura, Harry Shum, Jr., Sonja Sohn, Telisha Shaw, Danielle Polanco, Channing Tatum, Christopher Scott, Janelle Cambridge, LaJon Dantzler, Luis Rosado, Mari Koda, Janelle Cambridge, LaJon Dantzler, Luis Rosado, Mari Koda, Rockstar Logu, BooG!e",Dance
15-Feb-08,Diary of the Dead,The Weinstein Company / Dimension Films,"George A. Romero (director/screenplay); Michelle Morgan, Josh Close, Shawn Roberts, Amy Lalonde, Joe Dinicol, Scott Wentworth, Philip Riccio, Chris Violette, Tatiana Maslany, R.D. Reid, Megan Park, Alan van Sprang, Boyd Banks, George Buza, Tino Monte, Martin Roach, Matt Birman, Laura DeCarteret, Janet Lo, Rebuka Hoye, Todd William Schroeder, Alexandria DeFabiis, Nick Alachiotis, George A. Romero, Gregory Nicotero, Quentin Tarantino, Wes Craven, Guillermo del Toro, Simon Pegg, Stephen King",Horror
22-Feb-08,Be Kind Rewind,New Line Cinema / Partizan Films,"Michel Gondry (director/screenplay); Jack Black, Mos Def, Danny Glover, Mia Farrow, Melonie Diaz, Arjay Smith, Quinton Aaron, Chandler Parker, Karolina Wydra, P.J. Byrne, Matt Walsh, Paul Dinello, Sigourney Weaver, Gio Perez, Marcus Carl Franklin, Irv Gooch, Blake Hightower, Amir Ali Said, Marc Alan Austen, Kid Creole, Jon Glaser, Marceline Hugot, John Tormey, Booker T. Jones, Steve Cropper, Donald ""Duck"" Dunn, Jimmy Scott, McCoy Tyner, Alan Ferraro, Marco Quevedo",Comedy
22-Feb-08,Charlie Bartlett,Metro-Goldwyn-Mayer / Sidney Kimmel Entertainment,"Jon Poll (director); Gustin Nash (screenplay); Anton Yelchin, Hope Davis, Kat Dennings, Robert Downey Jr., Tyler Hilton, Mark Rendall, Jake Epstein, Megan Park, Lauren Collins, Derek McGrath, Stephen Young, Abby Zotz, Drake, Sarah Gadon, Ishan Davé","Comedy, Drama"
22-Feb-08,Sex and Death 101,Anchor Bay Entertainment,"Daniel Waters (director/screenplay); Simon Baker, Winona Ryder, Leslie Bibb, Mindy Cohn, Julie Bowen, Dash Mihok, Neil Flynn, Robert Ray Wisdom, Tanc Sade, Patton Oswalt, Frances Fisher, Sophie Monk, Marshall Bell, Natassia Malthe, Pollyanna McIntosh, Rob Benedict, Jessica Kiper, Winter Ave Zoli, Cindy Pickett, Nicole Bilderback, Keram Malicki-Sánchez, Retta, Corinne Reilly, Amanda Walsh, Zachary Gordon, Indira Varma","Dark Comedy, Sci-Fi"
22-Feb-08,U2 3D ‡,National Geographic Entertainment / 3ality Digital,"Catherine Owens, Mark Pellington (directors); Bono, The Edge, Adam Clayton, Larry Mullen Jr.",Concert
22-Feb-08,Vantage Point,Columbia Pictures / Relativity Media / Original Film,"Pete Travis (director); Barry L. Levy (screenplay); Dennis Quaid, Matthew Fox, Forest Whitaker, Sigourney Weaver, William Hurt, Saïd Taghmaoui, Édgar Ramírez, Ayelet Zurer, Eduardo Noriega, Richard T. Jones, Bruce McGill, Zoe Saldana, Holt McCallany, Leonardo Nam, James LeGros","Action, Thriller"
22-Feb-08,Witless Protection,Lionsgate / Parallel Entertainment,"Charles Robert Carner (director/screenplay); Larry the Cable Guy, Jenny McCarthy, Ivana Miličević, Joe Mantegna, Lisa Lampanelli, Yaphet Kotto, Richard Bull, Eric Roberts, Peter Stormare, J. David Moeller, Sean Bridgers","Comedy, Crime"
29-Feb-08,Bonneville ‡,SenArt Films,"Jessica Lange, Kathy Bates, Joan Allen, Tom Skerritt, Christine Baranski",
29-Feb-08,City of Men ‡,Miramax Films,"Douglas Silva, Darlan Cunha, Jonathan Haagensen, Rodrigo dos Santos",
29-Feb-08,The Other Boleyn Girl,Columbia Pictures / Focus Features / BBC Films / Relativity Media,"Justin Chadwick (director); Peter Morgan (screenplay); Natalie Portman, Scarlett Johansson, Eric Bana, Jim Sturgess, Kristin Scott Thomas, Mark Rylance, David Morrissey, Benedict Cumberbatch, Oliver Coleman, Ana Torrent, Eddie Redmayne, Juno Temple, Iain Mitchell, Andrew Garfield, Corinne Galloway, Constance Stride, Maisie Smith, Alfie Allen","Historical, Romance, Drama"
29-Feb-08,Penelope,Summit Entertainment / Stone Village Pictures / Type A Films,"Mark Palansky (director); Leslie Caveny (screenplay); Christina Ricci, James McAvoy, Catherine O'Hara, Reese Witherspoon, Richard E. Grant, Peter Dinklage, Russell Brand, Nick Frost, Ronni Ancona, Simon Woods, Nigel Havers, Burn Gorman, John Voce, Lenny Henry, Richard Leaf, Michael Feast","Fantasy, Romance, Comedy"
29-Feb-08,Semi-Pro,New Line Cinema,"Kent Alterman (director); Scot Armstrong (screenplay); Will Ferrell, Woody Harrelson, Andre Benjamin, Maura Tierney, Andrew Daly, Will Arnett, Andy Richter, David Koechner, Rob Corddry, Matt Walsh, Jackie Earle Haley, DeRay Davis, Josh Braaten, Jay Phillips, Peter Cornell, Patti LaBelle, Tim Meadows, Jason Sudeikis, Kristen Wiig, Ellia English, Ed Helms, Brian Huskey, Artis Gilmore, George Gervin, Jerry Minor","Sports, Comedy"
7-Mar-08,"10,000 BC",Warner Bros. Pictures / Legendary Pictures / Centropolis Entertainment,"Roland Emmerich (director/screenplay); Harald Kloser (screenplay); Steven Strait, Camilla Belle, Cliff Curtis, Affif Ben Badra, Marco Khan, Tim Barlow, Joel Fry, Mona Hammond, Reece Ritchie, Omar Sharif, Joel Virgel, Nathanael Baring, Mo Zinal, Junior Oliphant, Kristian Beazley, Boubacar Badaine, Farouk Valley-Omar, Piers Stubbs","Epic, Action, Adventure"
7-Mar-08,The Bank Job,Lionsgate / Mosaic Media Group / Relativity Media / Omnilab Media,"Roger Donaldson (director); Dick Clement, Ian La Frenais (screenplay); Jason Statham, Saffron Burrows, Richard Lintern, Keeley Hawes, Stephen Campbell Moore, Michael Jibson, Georgia Taylor, Daniel Mays, David Suchet, Peter de Jersey, Gerard Horan, Don Gallagher, Craig Fairbrass, Peter Bowles, James Faulkner, Alki David, Colin Salmon, Hattie Morahan, Robert Whitelock, Julian Lewis Jones, Andrew Brooke, Sharon Maughan, Alistair Petrie, Rupert Frazer, Christopher Owen, Angus Wright, Rupert Vansittart, Taylor Samways, Kasey Baterip, Trevor Coppola, Bronson Webb, Julian Firth, Mick Jagger",Thriller
7-Mar-08,College Road Trip,Walt Disney Pictures,"Roger Kumble (director); Emi Mochizuki, Carrie Evans, Cinco Paul, Ken Daurio (screenplay); Martin Lawrence, Raven-Symoné, Donny Osmond, Molly Ephraim, Kym Whitley, Brenda Song, Margo Harshman, Arnetia Walker, Vincent Pastore, Lucas Grabeel, Will Sasso, Geneva Carr, Josh Meyers, Michael Landes, Joseph R. Gannascoli, Kelly Coffield Park, Julia Frisoli, Eshaya Draper, Benjamin Patterson, Kristian Kordula, Brianna Shea Russo","Family, Comedy"
7-Mar-08,Married Life,Sony Pictures Classics,"Ira Sachs (director/screenplay); Oren Moverman (screenplay); Pierce Brosnan, Chris Cooper, Patricia Clarkson, Rachel McAdams, David Wenham","Drama, Period"
7-Mar-08,Miss Pettigrew Lives for a Day,Focus Features,"Bharat Nalluri (director); David Magee, Simon Beaufoy (screenplay); Frances McDormand, Amy Adams, Ciarán Hinds, Lee Pace, Tom Payne, Mark Strong, Shirley Henderson, Christina Cole, Stephanie Cole","Romance, Comedy"
7-Mar-08,Paranoid Park,IFC Films,"Gus Van Sant (director/screenplay); Gabe Nevins, Taylor Momsen, Jake Miller, Daniel Liu, Lauren McKinney, Scott Patrick Green",Drama
7-Mar-08,Snow Angels,Warner Independent Pictures,"David Gordon Green (director/screenplay); Kate Beckinsale, Sam Rockwell, Michael Angarano, Jeanetta Arnette, Griffin Dunne, Nicky Katt, Tom Noonan, Connor Paolo, Amy Sedaris, Olivia Thirlby, Grace Hudson",Drama
14-Mar-08,Doomsday,Rogue Pictures / Intrepid Pictures / Crystal Sky Pictures,"Neil Marshall (director/screenplay); Rhona Mitra, Bob Hoskins, Malcolm McDowell, Alexander Siddig, David O'Hara, Craig Conway, Lee-Anne Liebenberg, Hennie Bosman, Adrian Lester, Chris Robson, Sean Pertwee, Darren Morfitt, MyAnna Buring, Emma Cleasby, Neil Marshall","Sci-Fi, Action"
14-Mar-08,Dr. Seuss' Horton Hears a Who!,20th Century Fox Animation / Blue Sky Studios,"Jimmy Hayward, Steve Martino (directors); Cinco Paul, Ken Daurio (screenplay); Jim Carrey, Steve Carell, Carol Burnett, Will Arnett, Seth Rogen, Selena Gomez, Dan Fogler, Isla Fisher, Jonah Hill, Amy Poehler, Jaime Pressly, Jesse McCartney, Josh Flitter, Niecy Nash, Charles Osgood, Jack Angel, Jan Rabson, John Cygan, Jess Harnell, Debi Derryberry, Karen Disher, Marshall Efron, Bill Farmer, Heather Goldenhersh, Jimmy Hayward, Joey King, Laraine Newman, Colleen O'Shaughnessey, Joe Pasquale, Isabella Acres, Bob Bergen, Jeff Biancalana, Madison Davenport, Teresa Ganzel, Sherry Lynn, Danny Mann, Mona Marshall, Mickie McGowan, Madison Pettis, Grace Rolek, Ariel Winter, Kresimir Mikic","Adventure, Comedy"
14-Mar-08,Funny Games,Warner Independent Pictures,"Michael Haneke (director/screenplay); Naomi Watts, Tim Roth, Michael Pitt, Brady Corbet, Devon Gearhart, Boyd Gaines, Siobhan Fallon Hogan, Robert LuPone, Susanne Haneke, Linda Moran",Thriller
14-Mar-08,Never Back Down,Summit Entertainment / Mandalay Independent Productions,"Jeff Wadlow (director); Chris Hauty (screenplay); Sean Faris, Amber Heard, Cam Gigandet, Evan Peters, Leslie Hope, Djimon Hounsou, Tilky Jones, Zach Myers, Neil Brown Jr., Wyatt Smith, Chele Andre, Lauren Leech",Martial Arts
14-Mar-08,Sleepwalking,Overture Films,"William Maher (director); Zac Stanford (screenplay); AnnaSophia Robb, Nick Stahl, Charlize Theron, Dennis Hopper, Woody Harrelson, Deborra-Lee Furness, Mathew St. Patrick",Drama
21-Mar-08,Drillbit Taylor,Paramount Pictures,"Steven Brill (director); Kristofor Brown, Seth Rogen (screenplay); Owen Wilson, Nate Hartley, Troy Gentile, David Dorfman, Alex Frost, Josh Peck, Leslie Mann, Danny McBride, Stephen Root, Ian Roberts, Lisa Lampanelli, Lisa Ann Walter, Hynden Walch, Valerie Tian, David Bowe, Beth Littleford, Steve Bannos, Chuck Liddell, Robert Allen Mukes, Cedric Yarbrough, Tichina Arnold, Kevin Hart, Matt Besser, Shaun Weiss, Steven Brill, Mary-Pat Green, Jareb Dauplaise, Adam Baldwin","Coming-of-Age, Comedy"
21-Mar-08,The Grand,Anchor Bay Entertainment,"Zak Penn (director/screenplay); Matt Bierman (screenplay); Woody Harrelson, David Cross, Dennis Farina, Cheryl Hines, Richard Kind, Chris Parnell, Werner Herzog, Ray Romano, Barry Corbin, Michael McKean, Gabe Kaplan, Andrea Savage, Estelle Harris, Judy Greer, Jason Alexander, Brett Ratner, Hank Azaria, Tom Hodges, Shannon Elizabeth, K.D. Aubert, Mike Epps, Jeff Bowler, Tommy ""Tiny"" Lister Jr., Phil Gordon, Doyle Brunson, Daniel Negreanu, Phil Laak, Phil Hellmuth, Antonio Esfandiari, Richard Brodie, Michael Karnow, David Pressman",Comedy
21-Mar-08,Meet the Browns,Lionsgate / Tyler Perry Studios,"Tyler Perry (director/screenplay); Angela Bassett, Jenifer Lewis, David Mann, Tyler Perry, Rick Fox, Lance Gross, Tamela Mann, Lamman Rucker, Sofia Vergara, Frankie Faison, Margaret Avery, Irma P. Hall, LaVan Davis, Chloe Bailey, Phillip Van Lear, Kristopher Lofton, Mariana Tolbert, Brandon Richardson","Romance, Comedy, Drama"
21-Mar-08,Shutter,20th Century Fox / Regency Enterprises,"Masayuki Ochiai (director); Luke Dawson (screenplay); Joshua Jackson, Rachael Taylor, Megumi Okina, John Hensley, David Denman, James Kyson Lee, Daisy Betts, Maya Hazen, Yoshiko Miyazaki",Horror
21-Mar-08,Under the Same Moon,Fox Searchlight Pictures / The Weinstein Company,"Patricia Riggen (director); Ligiah Villalobos (screenplay); Adrián Alonso, Kate del Castillo, Eugenio Derbez, America Ferrera, Jesse Garcia, Maya Zapata, Gabriel Porras, Sonya Smith, Carmen Salinas, Ernesto D'Alessio, Los Tigres del Norte",Drama
28-Mar-08,21,Columbia Pictures / Relativity Media,"Robert Luketic (director); Peter Steinfeld, Allan Loeb (screenplay); Jim Sturgess, Kate Bosworth, Laurence Fishburne, Kevin Spacey, Liza Lapira, Aaron Yoo, Jacob Pitts, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin","Heist, Drama"
28-Mar-08,Chapter 27,Peace Arch Entertainment,"Jarrett Schaefer (director/screenplay); Jared Leto, Judah Friedlander, Lindsay Lohan","Biography, Drama"
28-Mar-08,Flawless,Magnolia Pictures,"Michael Radford (director); Edward Anderson (screenplay); Demi Moore, Michael Caine, Lambert Wilson, Joss Ackland, Constantine Gregory, Natalie Dormer, Nathaniel Parker, Nicholas Jones, Derren Nesbitt, Rosalind March, Stanley Townsend, Jonathan Aris, Simon Day, Yemi Goodman Ajibade, Kate Maravan, Ahmed Ayman","Heist, Crime"
28-Mar-08,Run Fatboy Run,New Line Cinema / Picturehouse / Material Entertainment,"David Schwimmer (director); Michael Ian Black, Simon Pegg (screenplay); Simon Pegg, Thandie Newton, Hank Azaria, Dylan Moran, Harish Patel, India de Beaufort, Matthew Fenton, Simon Day, Ruth Sheen, Tyrone Huggins, Nevan Finegan, Iddo Goldberg, Floella Benjamin, Chris Hollins, Denise Lewis, Peter Serafinowicz, Stephen Merchant, David Walliams, Michael Johnson, Bill Bailey, Margaret John",Comedy
28-Mar-08,Stop-Loss,Paramount Pictures / MTV Films,"Kimberly Peirce (director/screenplay); Mark Richard (screenplay); Ryan Phillippe, Channing Tatum, Abbie Cornish, Joseph Gordon-Levitt, Rob Brown, Victor Rasuk, Timothy Olyphant, Josef Sommer, Linda Emond, Ciarán Hinds, Mamie Gummer, Alex Frost, Steven Strait, Terry Quay, Matthew Scott Wilcox, Connett Brewer, Chandra Washington, Cora Cardona","War, Drama"
28-Mar-08,Superhero Movie,Metro-Goldwyn-Mayer / Dimension Films,"Craig Mazin (director/screenplay); Drake Bell, Sara Paxton, Christopher McDonald, Leslie Nielsen, Kevin Hart, Brent Spiner, Jeffrey Tambor, Robert Joy, Regina Hall, Pamela Anderson, Simon Rex, Marion Ross, Ryan Hansen, Tracy Morgan, Craig Bierko, Robert Hays, Nicole Sullivan, Dan Castellaneta, Keith David, Miles Fisher, Charlene Tilton, Lil' Kim, Marque Richardson, Kurt Fuller, Aki Aleong, Marisa Lauren, Sean Simms, Freddie Pierce, Howard Mungo, Cameron Ali Sims","Superhero, Comedy"
4-Apr-08,Leatherheads,Universal Pictures / Smokehouse Pictures / Casey Silver Productions,"George Clooney (director); Duncan Brantley, Rick Reilly (screenplay); George Clooney, Renée Zellweger, John Krasinski, Jonathan Pryce, Stephen Root, Wayne Duvall, Keith Loneker, Malcolm Goodwin, Tim Griffin, Robert Baker, Jeremy Ratchford, Max Casella, Jack Thompson, Blake Clark, Marian Seldes, Thomas Francis Murphy, Ledisi Young, Matt Bushell, Nick Paones, Nick Bourdages, Bill Roberson","Sports, Comedy"
4-Apr-08,Meet Bill,First Look International,"Bernie Goldmann (director); Melisa Wallack (director/screenplay); Aaron Eckhart, Jessica Alba, Elizabeth Banks, Timothy Olyphant, Logan Lerman, Todd Louiso, Craig Bierko, Reed Diamond, Kristen Wiig, Jason Sudeikis, Gabriel Basso, Holmes Osborne, Andy Zou, Ana Mackenzie",Comedy
4-Apr-08,My Blueberry Nights ‡,The Weinstein Company,"Wong Kar-Wai (director/screenplay); Lawrence Block (screenplay); Norah Jones, Jude Law, David Strathairn, Rachel Weisz, Natalie Portman, Chan Marshall, Frankie Faison, Adriane Lenox, Benjamin Kanes, Michael Hartnett, Michael May, Chad Davis, Katya Blumenberg, John Malloy, Demetrius Butler","Romance, Drama"
4-Apr-08,Nim's Island,20th Century Fox / Walden Media,"Jennifer Flackett, Mark Levin (directors/screenplay); Joseph Kwong, Paula Mazur (screenplay); Abigail Breslin, Jodie Foster, Gerard Butler, Anthony Simcoe, Alphonso McAuley, Morgan Griffin, Michael Carman, Christopher Baker, Maddison Joyce, Peter Callan",Adventure
