filghtId,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,duration,days_left
295147,Vistara,UK-822,Chennai,Morning,one,Night,Bangalore,13.08,35
255546,Vistara,UK-808,Bangalore,Early_Morning,one,Evening,Kolkata,10.08,43
300091,Vistara,UK-838,Chennai,Night,one,Evening,Hyderabad,22.75,48
213499,Vistara,UK-807,Delhi,Night,zero,Night,Bangalore,2.67,21
285694,Air_India,AI-559,Hyderabad,Early_Morning,one,Morning,Chennai,26.42,9
214495,Vistara,UK-975,Delhi,Early_Morning,one,Night,Bangalore,15.17,32
226834,Air_India,AI-669,Mumbai,Morning,one,Night,Delhi,8.92,20
294232,Air_India,AI-538,Chennai,Night,one,Afternoon,Bangalore,16.17,17
206714,Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,2.33,2
253983,Vistara,UK-820,Bangalore,Evening,one,Morning,Kolkata,15.75,19
297017,Vistara,UK-838,Chennai,Night,one,Morning,Kolkata,12.5,26
232832,Air_India,AI-660,Mumbai,Evening,one,Afternoon,Bangalore,18.5,34
228135,Air_India,AI-619,Mumbai,Night,one,Morning,Delhi,12.75,32
215334,Vistara,UK-981,Delhi,Night,one,Morning,Bangalore,13.08,42
207110,Air_India,AI-479,Delhi,Night,one,Afternoon,Mumbai,16.5,6
283659,Vistara,UK-890,Hyderabad,Evening,one,Morning,Kolkata,14.92,16
285868,Air_India,AI-541,Hyderabad,Evening,one,Afternoon,Chennai,20.42,13
285969,Vistara,UK-878,Hyderabad,Afternoon,one,Morning,Chennai,22.92,16
232727,Vistara,UK-954,Mumbai,Early_Morning,one,Night,Bangalore,14.42,33
282548,Vistara,UK-874,Hyderabad,Morning,one,Night,Bangalore,14.33,42
228805,Vistara,UK-851,Mumbai,Early_Morning,one,Afternoon,Delhi,7.17,38
230151,Vistara,UK-613,Mumbai,Afternoon,two_or_more,Night,Bangalore,8.17,3
259378,Air_India,AI-640,Bangalore,Early_Morning,one,Early_Morning,Chennai,24.58,13
293856,Air_India,AI-539,Chennai,Evening,one,Late_Night,Bangalore,7.17,10
241966,Air_India,AI-687,Mumbai,Afternoon,one,Night,Chennai,7.58,9
259523,Vistara,UK-867,Bangalore,Afternoon,two_or_more,Evening,Chennai,31.17,16
247711,Vistara,UK-864,Bangalore,Evening,one,Late_Night,Delhi,5.92,38
207950,Vistara,UK-727,Delhi,Night,one,Night,Mumbai,23.83,13
230717,Vistara,UK-928,Mumbai,Early_Morning,one,Evening,Bangalore,12.33,10
260006,Vistara,UK-802,Bangalore,Evening,one,Morning,Chennai,15.08,25
274052,Vistara,UK-774,Kolkata,Night,one,Evening,Chennai,23.33,34
256725,Vistara,UK-820,Bangalore,Evening,one,Morning,Hyderabad,15.83,14
233290,Vistara,UK-910,Mumbai,Evening,one,Morning,Bangalore,15.08,39
262935,Air_India,AI-526,Kolkata,Evening,one,Afternoon,Delhi,18.83,31
215340,Vistara,UK-943,Delhi,Early_Morning,one,Evening,Bangalore,10.25,42
281752,Air_India,AI-616,Hyderabad,Morning,one,Morning,Bangalore,26.75,28
259565,Vistara,UK-864,Bangalore,Evening,one,Morning,Chennai,16.83,17
238338,Air_India,AI-864,Mumbai,Early_Morning,one,Evening,Hyderabad,12.33,7
241698,Vistara,UK-988,Mumbai,Night,one,Morning,Chennai,13.0,5
263978,Air_India,AI-768,Kolkata,Afternoon,one,Night,Mumbai,5.75,2
298922,Air_India,AI-569,Chennai,Early_Morning,one,Night,Hyderabad,15.25,24
207641,Air_India,AI-475,Delhi,Afternoon,one,Afternoon,Mumbai,24.58,11
219201,Air_India,AI-504,Delhi,Night,one,Morning,Hyderabad,11.58,3
228314,Vistara,UK-960,Mumbai,Morning,zero,Afternoon,Delhi,2.17,34
279718,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Mumbai,15.67,40
275120,Air_India,AI-525,Hyderabad,Early_Morning,one,Morning,Delhi,27.25,9
257529,Vistara,UK-854,Bangalore,Evening,one,Early_Morning,Hyderabad,13.42,27
268484,Vistara,UK-774,Kolkata,Night,one,Evening,Bangalore,22.67,21
217942,Vistara,UK-955,Delhi,Evening,one,Morning,Kolkata,15.92,32
220487,Air_India,AI-887,Delhi,Early_Morning,one,Night,Hyderabad,14.58,26
210836,Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,12.42,39
247552,Vistara,UK-864,Bangalore,Evening,one,Morning,Delhi,13.08,36
220190,Vistara,UK-953,Delhi,Night,one,Afternoon,Hyderabad,15.58,21
256596,Vistara,UK-818,Bangalore,Evening,one,Morning,Hyderabad,14.0,12
216092,Vistara,UK-977,Delhi,Evening,one,Evening,Kolkata,24.92,5
265553,Vistara,UK-708,Kolkata,Night,one,Morning,Mumbai,15.17,24
244272,Vistara,UK-950,Mumbai,Night,one,Night,Chennai,22.33,40
207415,Vistara,UK-747,Delhi,Early_Morning,one,Afternoon,Mumbai,6.5,8
217687,Vistara,UK-943,Delhi,Early_Morning,one,Evening,Kolkata,9.33,28
213799,Air_India,AI-762,Delhi,Night,one,Night,Bangalore,24.58,24
277220,Vistara,UK-874,Hyderabad,Morning,one,Evening,Delhi,11.25,49
238985,Vistara,UK-877,Mumbai,Morning,zero,Afternoon,Hyderabad,1.5,16
240913,Vistara,UK-996,Mumbai,Evening,one,Afternoon,Hyderabad,18.08,41
243025,Vistara,UK-994,Mumbai,Morning,one,Evening,Chennai,5.92,23
268580,Air_India,AI-402,Kolkata,Morning,one,Late_Night,Bangalore,13.75,22
239089,Vistara,UK-928,Mumbai,Early_Morning,one,Afternoon,Hyderabad,6.08,17
229911,Vistara,UK-988,Mumbai,Night,zero,Night,Delhi,2.08,49
214406,Vistara,UK-933,Delhi,Afternoon,one,Early_Morning,Bangalore,16.33,31
254166,Air_India,AI-501,Bangalore,Afternoon,one,Evening,Kolkata,5.83,22
298553,Vistara,UK-828,Chennai,Early_Morning,one,Night,Hyderabad,13.92,15
223486,Air_India,AI-678,Delhi,Morning,one,Early_Morning,Chennai,22.33,27
242991,Vistara,UK-958,Mumbai,Afternoon,one,Night,Chennai,10.33,23
280800,Vistara,UK-874,Hyderabad,Morning,one,Evening,Bangalore,9.25,12
244130,Vistara,UK-940,Mumbai,Evening,one,Night,Chennai,24.5,38
227303,Vistara,UK-827,Mumbai,Night,one,Afternoon,Delhi,16.5,24
257776,Vistara,UK-820,Bangalore,Evening,one,Evening,Hyderabad,26.08,30
286770,Air_India,AI-840,Hyderabad,Night,one,Morning,Chennai,12.08,32
213075,Air_India,AI-624,Delhi,Evening,one,Morning,Bangalore,16.17,15
251314,Air_India,AI-804,Bangalore,Early_Morning,one,Night,Mumbai,15.08,32
290182,Air_India,AI-545,Chennai,Evening,one,Afternoon,Delhi,17.17,47
225496,Air_India,AI-651,Mumbai,Morning,one,Afternoon,Delhi,28.92,7
286220,Vistara,UK-890,Hyderabad,Evening,one,Morning,Chennai,16.25,21
275602,Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Delhi,5.17,18
227221,Air_India,AI-774,Mumbai,Night,one,Afternoon,Delhi,16.0,23
270553,Vistara,UK-774,Kolkata,Night,one,Afternoon,Hyderabad,15.67,8
266241,Air_India,AI-773,Kolkata,Evening,zero,Night,Mumbai,2.83,34
211632,Air_India,AI-807,Delhi,Evening,one,Night,Mumbai,27.75,46
264978,Vistara,UK-738,Kolkata,Evening,one,Morning,Mumbai,16.83,16
271811,Air_India,AI-402,Kolkata,Morning,one,Night,Hyderabad,10.17,34
297453,Air_India,AI-672,Chennai,Afternoon,one,Night,Kolkata,8.75,36
280530,Vistara,UK-880,Hyderabad,Afternoon,one,Night,Bangalore,9.92,7
231164,Vistara,UK-928,Mumbai,Early_Morning,one,Evening,Bangalore,12.33,15
235766,Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Kolkata,12.08,22
273583,Air_India,AI-732,Kolkata,Afternoon,one,Morning,Chennai,21.92,24
249000,Air_India,AI-804,Bangalore,Early_Morning,one,Night,Mumbai,15.08,6
280465,Air_India,AI-525,Hyderabad,Early_Morning,one,Night,Bangalore,14.83,6
266101,Air_India,AI-768,Kolkata,Afternoon,one,Night,Mumbai,5.75,32
229732,Vistara,UK-877,Mumbai,Morning,one,Afternoon,Delhi,25.75,47
256102,Air_India,AI-501,Bangalore,Afternoon,one,Evening,Hyderabad,6.0,4
248751,Air_India,AI-804,Bangalore,Early_Morning,one,Evening,Mumbai,11.83,3
295423,Vistara,UK-836,Chennai,Morning,one,Evening,Bangalore,6.25,40
239381,Air_India,AI-867,Mumbai,Night,one,Evening,Hyderabad,21.83,21
249821,Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Mumbai,10.67,15
265749,Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,12.58,27
240409,Air_India,AI-660,Mumbai,Evening,one,Night,Hyderabad,5.58,35
276839,Air_India,AI-616,Hyderabad,Morning,one,Night,Delhi,12.83,42
235936,Air_India,AI-809,Mumbai,Morning,one,Night,Kolkata,12.33,24
223829,Vistara,UK-993,Delhi,Afternoon,one,Evening,Chennai,7.08,32
272208,Vistara,UK-776,Kolkata,Evening,one,Early_Morning,Hyderabad,14.25,42
230807,Vistara,UK-928,Mumbai,Early_Morning,one,Evening,Bangalore,12.33,11
237909,Vistara,UK-996,Mumbai,Evening,one,Morning,Kolkata,13.83,48
208997,Vistara,UK-879,Delhi,Evening,one,Night,Mumbai,5.33,23
272141,Air_India,AI-770,Kolkata,Night,one,Night,Hyderabad,24.08,40
257494,Vistara,UK-818,Bangalore,Evening,one,Morning,Hyderabad,14.0,26
254014,Vistara,UK-858,Bangalore,Early_Morning,one,Morning,Kolkata,27.0,20
220913,Vistara,UK-995,Delhi,Morning,one,Early_Morning,Hyderabad,21.5,33
273911,Vistara,UK-776,Kolkata,Evening,one,Morning,Chennai,18.25,31
225327,Vistara,UK-863,Mumbai,Morning,one,Afternoon,Delhi,5.08,5
268297,Vistara,UK-774,Kolkata,Night,one,Night,Bangalore,26.25,18
241443,Vistara,UK-910,Mumbai,Evening,one,Morning,Hyderabad,15.83,49
299714,Vistara,UK-828,Chennai,Early_Morning,one,Early_Morning,Hyderabad,24.83,40
229302,Vistara,UK-877,Mumbai,Morning,one,Evening,Delhi,9.17,43
226974,Air_India,AI-671,Mumbai,Morning,one,Evening,Delhi,10.83,21
249848,Vistara,UK-814,Bangalore,Night,one,Morning,Mumbai,14.0,15
226459,Vistara,UK-825,Mumbai,Morning,one,Night,Delhi,14.17,16
274891,Air_India,AI-525,Hyderabad,Early_Morning,one,Morning,Delhi,27.25,5
270697,Air_India,AI-768,Kolkata,Afternoon,one,Morning,Hyderabad,19.0,11
236976,Vistara,UK-944,Mumbai,Afternoon,one,Night,Kolkata,8.08,37
242868,Air_India,AI-660,Mumbai,Evening,one,Evening,Chennai,25.0,21
229376,Air_India,AI-442,Mumbai,Afternoon,one,Evening,Delhi,3.75,44
236928,Air_India,AI-619,Mumbai,Night,one,Morning,Kolkata,11.83,37
282808,Vistara,UK-870,Hyderabad,Night,one,Morning,Bangalore,14.42,46
286224,Vistara,UK-890,Hyderabad,Evening,one,Night,Chennai,26.58,21
294717,Air_India,AI-569,Chennai,Early_Morning,one,Morning,Bangalore,4.83,27
228270,Vistara,UK-849,Mumbai,Evening,one,Night,Delhi,6.25,33
270309,Air_India,AI-402,Kolkata,Morning,one,Evening,Hyderabad,8.92,3
222119,Vistara,UK-953,Delhi,Night,one,Morning,Chennai,12.17,6
288310,Vistara,UK-822,Chennai,Morning,one,Late_Night,Delhi,15.17,14
215866,Vistara,UK-641,Delhi,Afternoon,one,Morning,Kolkata,19.92,2
224022,Vistara,UK-995,Delhi,Morning,one,Evening,Chennai,9.58,35
241743,Vistara,UK-986,Mumbai,Night,one,Morning,Chennai,11.17,6
211711,Air_India,AI-433,Delhi,Afternoon,one,Afternoon,Mumbai,27.5,47
212032,Vistara,UK-985,Delhi,Evening,one,Morning,Bangalore,14.92,2
242966,Vistara,UK-988,Mumbai,Night,one,Night,Chennai,23.33,22
255763,Air_India,AI-503,Bangalore,Evening,one,Afternoon,Kolkata,20.67,46
224748,Vistara,UK-993,Delhi,Afternoon,one,Evening,Chennai,7.08,46
227105,Vistara,UK-857,Mumbai,Night,one,Morning,Delhi,13.67,22
242248,Vistara,UK-940,Mumbai,Evening,one,Evening,Chennai,20.58,12
283104,Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Kolkata,12.75,4
273718,Air_India,AI-773,Kolkata,Evening,one,Early_Morning,Chennai,14.08,27
214077,Vistara,UK-963,Delhi,Morning,one,Night,Bangalore,14.0,27
232763,Vistara,UK-960,Mumbai,Morning,one,Night,Bangalore,10.75,33
269037,Vistara,UK-774,Kolkata,Night,one,Morning,Bangalore,12.25,30
245219,Air_India,AI-640,Bangalore,Early_Morning,one,Night,Delhi,13.67,7
268650,Vistara,UK-778,Kolkata,Afternoon,one,Morning,Bangalore,17.33,23
262171,Air_India,AI-732,Kolkata,Afternoon,one,Afternoon,Delhi,23.25,17
245123,Air_India,AI-808,Bangalore,Night,zero,Night,Delhi,2.92,6
211395,Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,7.33,44
292240,Air_India,AI-539,Chennai,Evening,one,Afternoon,Mumbai,19.83,31
281741,Vistara,UK-878,Hyderabad,Afternoon,one,Morning,Bangalore,19.92,28
299973,Vistara,UK-838,Chennai,Night,one,Night,Hyderabad,25.83,45
256694,Vistara,UK-866,Bangalore,Night,one,Early_Morning,Hyderabad,10.17,14
257535,Vistara,UK-866,Bangalore,Night,one,Night,Hyderabad,23.25,27
227310,Vistara,UK-853,Mumbai,Afternoon,one,Night,Delhi,6.42,24
259949,Vistara,UK-814,Bangalore,Night,one,Morning,Chennai,12.75,24
284224,Vistara,UK-878,Hyderabad,Afternoon,one,Night,Kolkata,9.83,27
275417,Vistara,UK-830,Hyderabad,Morning,zero,Afternoon,Delhi,2.33,15
274431,Vistara,UK-738,Kolkata,Evening,one,Night,Chennai,25.5,42
245053,Air_India,AI-640,Bangalore,Early_Morning,one,Evening,Delhi,12.58,5
235541,Vistara,UK-928,Mumbai,Early_Morning,one,Evening,Kolkata,13.08,19
266711,Vistara,UK-720,Kolkata,Early_Morning,one,Afternoon,Mumbai,5.42,40
222335,Vistara,UK-941,Delhi,Evening,one,Morning,Chennai,16.08,9
244613,Vistara,UK-988,Mumbai,Night,one,Night,Chennai,23.33,45
227607,Air_India,AI-657,Mumbai,Early_Morning,one,Evening,Delhi,11.58,27
237152,Vistara,UK-960,Mumbai,Morning,one,Night,Kolkata,10.83,39
232695,Vistara,UK-940,Mumbai,Evening,one,Morning,Bangalore,12.92,32
296971,Vistara,UK-836,Chennai,Morning,one,Night,Kolkata,12.0,25
211108,Air_India,AI-403,Delhi,Afternoon,one,Evening,Mumbai,6.33,42
227526,Vistara,UK-845,Mumbai,Early_Morning,one,Afternoon,Delhi,8.17,26
278084,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,17.0,15
210427,Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,2.33,36
214377,Vistara,UK-927,Delhi,Morning,one,Evening,Bangalore,9.75,31
222639,Air_India,AI-540,Delhi,Night,zero,Night,Chennai,2.92,14
289036,Vistara,UK-838,Chennai,Night,zero,Night,Delhi,2.83,27
299444,Air_India,AI-430,Chennai,Morning,one,Evening,Hyderabad,9.42,34
207330,Vistara,UK-706,Delhi,Afternoon,one,Night,Mumbai,7.92,8
216768,Vistara,UK-993,Delhi,Afternoon,one,Evening,Kolkata,7.08,15
283919,Vistara,UK-830,Hyderabad,Morning,one,Morning,Kolkata,23.25,22
295680,Vistara,UK-824,Chennai,Night,one,Morning,Bangalore,14.25,45
289302,Vistara,UK-824,Chennai,Night,one,Afternoon,Delhi,16.17,31
283556,Air_India,AI-541,Hyderabad,Evening,one,Afternoon,Kolkata,22.25,14
229985,Vistara,UK-771,Mumbai,Early_Morning,one,Night,Delhi,14.17,49
210508,Air_India,AI-502,Delhi,Afternoon,one,Night,Mumbai,7.58,36
246424,Air_India,AI-640,Bangalore,Early_Morning,one,Evening,Delhi,11.5,22
272326,Air_India,AI-402,Kolkata,Morning,one,Evening,Hyderabad,8.92,44
246323,Vistara,UK-858,Bangalore,Early_Morning,one,Night,Delhi,15.25,20
278669,Vistara,UK-860,Hyderabad,Early_Morning,one,Afternoon,Mumbai,7.17,24
277904,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,14.42,12
291549,Air_India,AI-672,Chennai,Afternoon,zero,Evening,Mumbai,2.17,21
212670,Air_India,AI-807,Delhi,Evening,zero,Night,Bangalore,2.75,11
291500,Air_India,AI-538,Chennai,Night,one,Morning,Mumbai,12.75,20
264663,Air_India,AI-768,Kolkata,Afternoon,one,Night,Mumbai,6.67,12
281562,Vistara,UK-876,Hyderabad,Night,one,Morning,Bangalore,11.25,25
273036,Air_India,AI-787,Kolkata,Early_Morning,one,Afternoon,Chennai,8.0,12
234129,Air_India,AI-673,Mumbai,Early_Morning,one,Evening,Bangalore,8.83,49
215660,Vistara,UK-955,Delhi,Evening,one,Night,Bangalore,5.08,46
209131,Air_India,AI-540,Delhi,Night,one,Evening,Mumbai,20.42,24
282766,Air_India,AI-420,Hyderabad,Afternoon,one,Afternoon,Bangalore,20.5,45
227740,Vistara,UK-863,Mumbai,Morning,one,Night,Delhi,12.5,28
283258,Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Kolkata,11.25,8
246117,Vistara,UK-866,Bangalore,Night,one,Morning,Delhi,10.92,18
276490,Air_India,AI-525,Hyderabad,Early_Morning,one,Evening,Delhi,12.0,35
217211,Vistara,UK-955,Delhi,Evening,one,Evening,Kolkata,26.17,21
293064,Vistara,UK-836,Chennai,Morning,one,Night,Mumbai,9.33,43
222588,Air_India,AI-887,Delhi,Early_Morning,one,Morning,Chennai,27.92,13
206910,Air_India,AI-542,Delhi,Morning,one,Night,Mumbai,14.17,4
247201,Vistara,UK-808,Bangalore,Early_Morning,zero,Morning,Delhi,2.67,32
252691,Vistara,UK-808,Bangalore,Early_Morning,one,Evening,Mumbai,8.5,48
214135,Vistara,UK-941,Delhi,Evening,one,Early_Morning,Bangalore,15.08,28
266525,Air_India,AI-747,Kolkata,Night,one,Morning,Mumbai,9.33,38
224978,Air_India,AI-883,Delhi,Night,two_or_more,Morning,Chennai,12.92,49
270344,Air_India,AI-770,Kolkata,Night,one,Morning,Hyderabad,14.0,4
240796,Air_India,AI-442,Mumbai,Afternoon,one,Morning,Hyderabad,18.92,40
257913,Vistara,UK-850,Bangalore,Evening,one,Early_Morning,Hyderabad,11.92,33
252723,Vistara,UK-816,Bangalore,Morning,one,Evening,Mumbai,6.17,48
281993,Vistara,UK-870,Hyderabad,Night,one,Morning,Bangalore,14.25,32
289521,Vistara,UK-826,Chennai,Afternoon,one,Evening,Delhi,7.25,35
281093,Vistara,UK-878,Hyderabad,Afternoon,one,Morning,Bangalore,21.83,17
288124,Vistara,UK-828,Chennai,Early_Morning,two_or_more,Evening,Delhi,9.75,11
261293,Air_India,AI-770,Kolkata,Night,zero,Night,Delhi,2.5,2
262454,Air_India,AI-732,Kolkata,Afternoon,one,Night,Delhi,10.75,22
208109,Vistara,UK-879,Delhi,Evening,one,Morning,Mumbai,16.33,15
285452,Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Chennai,7.0,4
212974,Vistara,UK-995,Delhi,Morning,one,Night,Bangalore,10.58,14
210109,Vistara,UK-955,Delhi,Evening,zero,Night,Mumbai,2.33,33
228341,Vistara,UK-877,Mumbai,Morning,one,Morning,Delhi,22.25,34
207396,Air_India,AI-506,Delhi,Morning,one,Morning,Mumbai,22.83,8
238269,Air_India,AI-806,Mumbai,Early_Morning,one,Night,Hyderabad,12.58,6
243814,Air_India,AI-888,Mumbai,Evening,one,Afternoon,Chennai,17.67,34
228094,Vistara,UK-958,Mumbai,Afternoon,zero,Afternoon,Delhi,2.08,32
269516,Air_India,AI-763,Kolkata,Early_Morning,one,Night,Bangalore,13.08,37
239713,Vistara,UK-940,Mumbai,Evening,one,Evening,Hyderabad,21.25,25
247779,Air_India,AI-516,Bangalore,Early_Morning,one,Afternoon,Delhi,7.67,39
260881,Vistara,UK-854,Bangalore,Evening,one,Evening,Chennai,25.5,42
257244,Vistara,UK-820,Bangalore,Evening,one,Morning,Hyderabad,15.83,22
288469,Air_India,AI-569,Chennai,Early_Morning,one,Evening,Delhi,11.92,17
282777,Vistara,UK-874,Hyderabad,Morning,one,Evening,Bangalore,10.75,46
279119,Air_India,AI-525,Hyderabad,Early_Morning,one,Night,Mumbai,14.08,31
287484,Vistara,UK-874,Hyderabad,Morning,one,Night,Chennai,11.75,46
294510,Air_India,AI-569,Chennai,Early_Morning,one,Morning,Bangalore,4.83,23
272679,Vistara,UK-706,Kolkata,Morning,one,Night,Chennai,12.5,4
267198,Vistara,UK-708,Kolkata,Night,one,Afternoon,Mumbai,16.25,47
276311,Vistara,UK-878,Hyderabad,Afternoon,one,Late_Night,Delhi,12.0,32
276894,Vistara,UK-876,Hyderabad,Night,one,Morning,Delhi,10.5,43
274119,Air_India,AI-770,Kolkata,Night,one,Morning,Chennai,12.42,35
219509,Air_India,AI-560,Delhi,Morning,zero,Morning,Hyderabad,2.33,9
238500,Air_India,AI-774,Mumbai,Night,one,Night,Hyderabad,24.33,9
214816,Vistara,UK-995,Delhi,Morning,one,Evening,Bangalore,8.92,36
208883,Vistara,UK-627,Delhi,Afternoon,one,Afternoon,Mumbai,26.67,22
275017,Vistara,UK-874,Hyderabad,Morning,one,Night,Delhi,13.42,7
213714,Vistara,UK-995,Delhi,Morning,one,Evening,Bangalore,7.42,23
296413,Vistara,UK-822,Chennai,Morning,one,Evening,Kolkata,10.17,13
276576,Air_India,AI-616,Hyderabad,Morning,one,Evening,Delhi,10.92,37
283639,Vistara,UK-890,Hyderabad,Evening,one,Evening,Kolkata,24.42,16
211072,Air_India,AI-803,Delhi,Early_Morning,one,Night,Mumbai,14.92,41
225759,Vistara,UK-775,Mumbai,Afternoon,one,Night,Delhi,8.75,9
293989,Vistara,UK-824,Chennai,Night,one,Evening,Bangalore,22.75,13
242562,Air_India,AI-809,Mumbai,Morning,one,Night,Chennai,13.58,17
213867,Air_India,AI-636,Delhi,Afternoon,one,Morning,Bangalore,20.67,25
278423,Vistara,UK-890,Hyderabad,Evening,one,Early_Morning,Mumbai,14.25,20
297309,Vistara,UK-832,Chennai,Early_Morning,one,Evening,Kolkata,12.67,32
240170,Vistara,UK-877,Mumbai,Morning,zero,Afternoon,Hyderabad,1.5,32
208444,Air_India,AI-544,Delhi,Evening,one,Morning,Mumbai,16.42,18
289305,Vistara,UK-824,Chennai,Night,one,Evening,Delhi,20.42,31
267725,Vistara,UK-776,Kolkata,Evening,one,Morning,Bangalore,15.25,9
298407,Vistara,UK-832,Chennai,Early_Morning,one,Evening,Hyderabad,13.0,11
279687,Vistara,UK-880,Hyderabad,Afternoon,one,Night,Mumbai,8.58,39
218648,Air_India,AI-401,Delhi,Early_Morning,zero,Morning,Kolkata,2.17,43
280819,Air_India,AI-698,Hyderabad,Night,one,Evening,Bangalore,20.25,12
292584,Vistara,UK-838,Chennai,Night,one,Early_Morning,Mumbai,10.83,36
258847,Vistara,UK-818,Bangalore,Evening,one,Afternoon,Hyderabad,16.92,47
209763,Vistara,UK-981,Delhi,Night,zero,Night,Mumbai,2.17,30
299060,Vistara,UK-838,Chennai,Night,one,Evening,Hyderabad,22.83,26
215522,Air_India,AI-542,Delhi,Morning,one,Morning,Bangalore,24.67,45
264070,Air_India,AI-763,Kolkata,Early_Morning,one,Night,Mumbai,14.58,4
264311,Vistara,UK-720,Kolkata,Early_Morning,one,Morning,Mumbai,28.33,7
262984,Air_India,AI-768,Kolkata,Afternoon,zero,Evening,Delhi,2.5,32
279004,Vistara,UK-830,Hyderabad,Morning,one,Night,Mumbai,9.75,29
276943,Air_India,AI-698,Hyderabad,Night,one,Afternoon,Delhi,14.0,44
294959,Vistara,UK-836,Chennai,Morning,one,Evening,Bangalore,8.08,31
235284,Vistara,UK-958,Mumbai,Afternoon,one,Evening,Kolkata,5.67,16
275832,Air_India,AI-541,Hyderabad,Evening,zero,Evening,Delhi,2.25,23
238752,Vistara,UK-996,Mumbai,Evening,one,Afternoon,Hyderabad,18.08,12
211644,Air_India,AI-764,Delhi,Evening,one,Night,Mumbai,27.58,46
258066,Vistara,UK-808,Bangalore,Early_Morning,one,Evening,Hyderabad,9.0,35
248599,Vistara,UK-852,Bangalore,Morning,one,Evening,Delhi,10.25,49
237179,Vistara,UK-988,Mumbai,Night,one,Evening,Kolkata,22.67,39
219580,Air_India,AI-506,Delhi,Morning,one,Morning,Hyderabad,23.08,10
213672,Air_India,AI-506,Delhi,Morning,zero,Afternoon,Bangalore,2.75,23
266589,Vistara,UK-776,Kolkata,Evening,zero,Night,Mumbai,2.75,39
213833,Vistara,UK-985,Delhi,Evening,one,Morning,Bangalore,13.0,24
297434,Air_India,AI-430,Chennai,Morning,one,Evening,Kolkata,9.25,35
268761,Air_India,AI-424,Kolkata,Afternoon,one,Afternoon,Bangalore,22.75,25
237375,Air_India,AI-660,Mumbai,Evening,one,Morning,Kolkata,15.0,42
232772,Vistara,UK-940,Mumbai,Evening,one,Morning,Bangalore,12.92,33
215655,Vistara,UK-981,Delhi,Night,one,Early_Morning,Bangalore,10.17,46
212663,Vistara,UK-819,Delhi,Afternoon,zero,Evening,Bangalore,2.75,11
299357,Vistara,UK-836,Chennai,Morning,one,Night,Hyderabad,10.17,32
264588,Air_India,AI-763,Kolkata,Early_Morning,one,Night,Mumbai,14.25,11
270485,Vistara,UK-738,Kolkata,Evening,one,Afternoon,Hyderabad,17.83,7
